Equipo,ID
Brujas,0
Lille,1
Salzburgo,2
Napoli,3
Inter de Milán,4
Eintracht Fráncfort,5
Sevilla,6
Tottenham Hotspur,7
Manchester United,8
Shakhtar,9
Juventus,10
Leicester,11
Borussia Mönchengladbach,12
Liverpool,13
Milan,14
Olympique de Lyon,15
Bayern,16
Schalke 04,17
Zenit,18
Oporto,19
Olympiacos,20
Borussia Dortmund,21
París Saint-Germain,22
Lazio,23
Tottenham,24
Málaga,25
Dynamo Kiev,26
Shakhtar Donetsk,27
Basilea,28
Manchester City,29
Arsenal,30
Barcelona,31
Real Madrid,32
Gante,33
Wolfsburgo,34
PSV,35
Leipzig,36
Sporting de Portugal,37
Beşiktaş,38
Roma,39
Atalanta,40
Celtic,41
Galatasaray,42
Villarreal,43
Porto,44
Bayern Múnich,45
Atlético de Madrid,46
Bayer Leverkusen,47
Monaco,48
Paris,49
Valencia,50
Chelsea,51
Benfica,52
Ajax,53
